chamber,T_treatment,layer,LeafFM,BranchFM,LeafDM,LeafMoist,BranchDM,BranchMoist,LeafNum,LeafFM100,LeafArea100,LeafDM100,LeafMoist100,SLA,StemFM,StemFMminusDisks,diskFM,diskDM,StemDMminusDisks,StemMoist,StemDM,TotalLeafDM
C01,ambient,low,1575.57,616.814,667.17,54.37448035,289.514,53.06299792,100,113.732,4202.2,51.692,54.54929132,81.29304341,8005,7429,576,220.7160048,2846.7,61.68124916,3067.416005,718.862
C01,ambient,mid,2172.87,1023.214,917.97,55.46249891,465.814,54.47540788,100,109.572,4636.6,49.772,54.57598657,93.15679499,3842,3633,209,84.77932838,1473.7,59.43572805,1558.479328,967.742
C01,ambient,top,868.07,493.414,324.37,55.78674531,210.314,57.37575342,100,129.932,4285.2,59.432,54.25915094,72.10257101,974,959,15,6.31438999,403.7,57.90406674,410.01439,383.802
C02,elevated,low,1600.84,541.914,627.27,58.37360386,234.614,56.70641467,100,93.832,3379.9,39.102,58.32764942,86.43803386,10822,10132,690,245.075306,3598.7,64.48183972,3843.775306,666.372
C02,elevated,mid,3356.07,1453.828,1265.07,61.27190434,585.728,59.71132761,100,87.382,3325,34.672,60.32134765,95.89870789,6153,6050,103,37.2451405,2187.7,63.83966942,2224.94514,1299.742
C02,elevated,top,1750.87,1126.234,688.57,58.78837378,427.314,62.05815133,100,78.332,2885.6,32.992,57.88183629,87.46362755,1099,1082,17,6.767005545,430.7,60.19408503,437.4670055,721.562
C03,ambient,low,974.27,331.414,355.67,58.1407618,157.314,52.53248203,100,123.982,4137.8,52.152,57.93582939,79.34115662,6641,6155,486,172.4253777,2183.7,64.52152721,2356.125378,407.822
C03,ambient,mid,1411.97,653.614,567.57,56.2581358,299.914,54.11450795,100,113.232,4097.7,50.052,55.79694786,81.86885639,3927,3674,253,96.38652695,1399.7,61.90255852,1496.086527,617.622
C03,ambient,top,928.07,480.814,335.17,56.69809389,205.114,57.34026047,100,153.032,4405.3,66.702,56.4130378,66.04449642,1007,992,15,5.544858871,366.7,63.03427419,372.2448589,401.872
C04,elevated,low,641.57,205.114,257.67,53.06950138,100.214,51.1422916,100,91.332,3044.3,43.422,52.45697017,70.10962185,8584,8216,368,136.4636806,3046.7,62.91747809,3183.163681,301.092
C04,elevated,mid,2511.07,1049.714,1139.77,52.5818874,486.014,53.70034124,100,106.932,3829.6,50.932,52.3697303,75.19045001,6746,6560,186,71.21588415,2511.7,61.71189024,2582.915884,1190.702
C04,elevated,top,2097.37,971.714,915.27,54.60352727,435.314,55.20142758,100,82.762,3022.4,36.862,55.46023537,81.99229559,1719,1606,113,45.99508095,653.7,59.29638854,699.6950809,952.132
C05,ambient,low,2110.37,823.614,916.27,54.83341784,372.314,54.79508605,100,82.382,2639.5,36.912,55.1940958,71.50791071,9836,9326,510,166.4472443,3043.7,67.36328544,3210.147244,953.182
C05,ambient,mid,4481.07,1954.428,1998.97,54.12854519,861.628,55.91405772,100,120.932,3679.6,56.562,53.22826051,65.05427672,5557,5268,289,105.4235573,1921.7,63.52126044,2027.123557,2055.532
C05,ambient,top,2335.37,1513.514,1005.47,55.09867815,610.114,59.68890939,100,95.032,2584.4,43.142,54.60266016,59.90450141,985,974,11,4.107494867,363.7,62.65913758,367.8074949,1048.612
C06,elevated,low,1091.78,413.814,459.37,53.83850226,174.914,57.73125124,100,95.732,3151.2,44.612,53.39907241,70.6357034,5909,5686,223,80.81887091,2060.7,63.75835385,2141.518871,503.982
C06,elevated,mid,2698.07,1342.114,1159.87,55.4695764,574.314,57.20825504,100,89.902,3126.1,41.592,53.73629063,75.16108867,4313,4265,48,18.61139508,1653.7,61.22626026,1672.311395,1201.462
C06,elevated,top,953.77,465.614,393.97,55.05394382,191.814,58.80407376,105,76.332,2081,34.712,54.52496987,59.95044941,1155,1095,60,23.38082192,426.7,61.03196347,450.0808219,428.682
C07,ambient,low,1700.67,495.514,653.87,56.19890984,225.114,54.56959844,100,206.592,5907.3,91.042,55.93149783,64.88543749,10428,10015,413,161.0638143,3905.7,61.00149775,4066.763814,744.912
C07,ambient,mid,2592.87,870.114,1060.47,56.20482323,396.114,54.47562044,100,171.632,5105.2,75.082,56.25407849,67.99499214,6269,5925,344,145.0141435,2497.7,57.84472574,2642.714143,1135.552
C07,ambient,top,1682.97,527.714,675.07,55.59445504,227.714,56.84897501,100,158.932,4577.9,72.262,54.53275615,63.35141568,1413,1402,11,4.47767475,570.7,59.29386591,575.1776748,747.332
C08,elevated,low,1994.87,690.314,816.07,55.7955155,305.314,55.77172127,100,145.532,4931.5,65.752,54.81955859,75.00152087,12243,11940,303,107.4127387,4232.7,64.55025126,4340.112739,881.822
C08,elevated,mid,3754.07,1475.114,1508.57,58.3600732,616.914,58.17855434,100,129.532,4189.5,54.622,57.83126949,76.69986452,9094,8834,260,99.91193118,3394.7,61.57233416,3494.611931,1563.192
C08,elevated,top,2296.97,942.414,961.57,55.9949847,389.514,58.66848328,100,112.332,3696.9,49.212,56.19057793,75.12192148,1774,1764,10,3.972222222,700.7,60.27777778,704.6722222,1010.782
C09,ambient,low,865.67,392.514,346.87,54.51014821,174.214,55.61585064,100,102.032,3546.5,46.922,54.01246668,75.58288223,7656,7125,531,181.5237474,2435.7,65.81473684,2617.223747,393.792
C09,ambient,mid,1384.67,496.014,558.97,56.22480447,209.114,57.84110932,100,108.632,4040.8,47.172,56.5763311,85.66098533,4764,4737,27,9.784863838,1716.7,63.75976356,1726.484864,606.142
C09,ambient,top,1659.47,663.014,673.27,55.84421532,282.814,57.34418881,100,137.332,4649.4,59.482,56.68744357,78.16482297,1448,1395,53,20.31476703,534.7,61.6702509,555.014767,732.752
C10,elevated,low,441.57,478.014,163.27,53.93210589,208.614,56.35818198,100,88.332,2740.6,40.152,54.54421954,68.25562861,7857,7544,313,103.2974682,2489.7,66.997614,2592.997468,203.422
C10,elevated,mid,1736.47,1105.014,725.07,56.58306795,470.114,57.45628562,100,68.792,2390.6,28.852,58.05907664,82.85734091,4985,4858,127,43.17947715,1651.7,66.00041169,1694.879477,753.922
C10,elevated,top,1440.37,656.014,568.67,57.99259912,279.214,57.43779858,100,85.852,3209.1,36.392,57.61077203,88.18146845,1221,1173,48,17.21534527,420.7,64.13469736,437.9153453,605.062
C11,ambient,low,1996.97,715.624,909.97,51.54549142,346.214,51.62068349,100,120.382,3757.4,57.652,52.1091193,65.17380143,9928,9309,619,234.1082071,3520.7,62.17961113,3754.808207,967.622
C11,ambient,mid,3481.07,1538.478,1660.27,50.66223891,721.528,53.10118182,100,118.132,3857.7,57.212,51.56943081,67.42816192,5543,5313,230,95.36363636,2202.9,58.53754941,2298.263636,1717.482
C11,ambient,top,1618.87,770.214,678.27,54.27538962,325.114,57.78913393,100,133.832,3573.5,61.952,53.70912786,57.68175362,1244,1237,7,2.800565885,494.9,59.99191593,497.7005659,740.222
C12,elevated,low,1590.87,600.414,754.37,48.12574252,291.914,51.38121363,100,136.042,3540,70.882,47.89697299,49.94215739,14894,14400,494,176.6701806,5149.9,64.23680556,5326.570181,825.252
C12,elevated,mid,4287.88,1833.97,1842.67,55.86252414,857.77,53.22878782,100,114.332,3544.6,49.892,56.36217332,71.04545819,9972,9611,361,131.3099469,3495.9,63.62605348,3627.209947,1892.562
C12,elevated,top,3224.07,1355.238,1318.77,57.49651838,593.728,56.19013044,100,117.582,3599.1,51.572,56.13954517,69.78786939,2105,2093,12,4.62627807,806.9,61.44768275,811.5262781,1370.342
