chamber,chamberDiam,soilDepth,SubFloorHeight,SubFloorAirVol,soilVol,BD1,BD2,SoilWeight,RootDM0to2,RootDM2to10,RootDM10up,RootDMbole,CoreRoots,RootDMtotal
C01,310,70,40,3.4,5.27,1.75,1.66,8.78,204,479,780,1190,9.987,2663
C02,311,71,45,3.87,5.4,1.75,1.72,9.29,272,600,725,986,3.85,2586.9
C03,323,102,45,3.83,8.34,1.76,1.74,14.5,212,390,238,841,9.218,1690.3
C04,311,65,41,3.46,4.93,1.77,1.71,8.43,257,591,852,894,4.518,2598.6
C05,307,68,41,3.53,5.04,1.81,1.71,8.61,259,710,1233,829,4.037,3035.1
C06,314,99,45,3.85,7.67,1.75,1.68,12.87,272,379,294,650,3.589,1598.6
C07,324,65,42,3.59,5.37,1.76,1.72,9.21,328,691,1166,1012,3.4,3200.5
C08,316,62,44,3.72,4.87,1.75,1.77,8.63,271,629,739,953,3.008,2595.1
C09,309,87,45,3.85,6.52,1.75,1.74,11.36,357,586,524,672,5.454,2144.5
C10,311,66,41,3.53,5.01,1.75,1.71,8.56,305,480,274,495,3.774,1557.8
C11,314,68,41,3.51,5.25,1.74,1.71,8.97,365,815,1131,1026,7.161,3344.2
C12,323,87,43,3.68,7.13,1.73,1.7,12.1,350,718,1142,702,7.643,2919.7